AppType,Strategy,NumMobileUsers,AvgLoopLatency(ms),NetworkUsage,TotalEnergy(W),MigrationTime(ms),CloudExecutionCost
CrowdSensing,Cloud,1,-1.0000,5141.0000,24534043.0050,0.0000,17721.6150
CrowdSensing,Fog,1,-1.0000,9510.7040,26316523.7951,7.0400,10854.7479
CrowdSensing,Cloud,2,-1.0000,10282.0000,25266806.4638,0.0000,822815.2150
CrowdSensing,Fog,2,-1.0000,19126.0800,26113112.7511,10.8000,115134.7479
CrowdSensing,Cloud,3,-1.0000,15423.0000,25431691.4011,0.0000,822815.2150
CrowdSensing,Fog,3,-1.0000,28791.4480,26428091.8175,14.4800,123813.8047
CrowdSensing,Cloud,5,-1.0000,25705.0000,25761461.2757,0.0000,822815.2150
CrowdSensing,Fog,5,-1.0000,47396.6280,27334341.3181,26.2800,592964.9079
CrowdSensing,Cloud,8,-1.0000,41128.0000,26256116.0876,0.0000,822815.2150
CrowdSensing,Fog,8,-1.0000,75433.7760,28068776.9504,42.7600,669034.3239
CrowdSensing,Cloud,10,-1.0000,51410.0000,26585885.9622,0.0000,822815.2150
CrowdSensing,Fog,10,-1.0000,64491.5340,28345467.2385,45.3400,734935.5280
CrowdSensing,Cloud,12,-1.0000,61692.0000,26915655.8368,0.0000,822815.2150
CrowdSensing,Fog,12,-1.0000,78207.7340,28712862.7269,47.3400,771765.6840
CrowdSensing,Cloud,14,-1.0000,71974.0000,27245425.7114,0.0000,822815.2150
CrowdSensing,Fog,14,-1.0000,77113.8600,29119432.3645,53.6000,808153.1943
CrowdSensing,Cloud,15,-1.0000,77115.0000,27410288.5287,0.0000,822783.8550
CrowdSensing,Fog,15,-1.0000,82463.2560,29324821.3744,52.5600,798322.9036
CrowdSensing,Cloud,16,-1.0000,82256.0000,27575167.1460,0.0000,822774.8950
CrowdSensing,Fog,16,-1.0000,87995.6760,29446302.4512,51.7600,797835.0382
CrowdSensing,Cloud,18,-1.0000,92538.0000,27904940.1806,0.0000,822779.3750
CrowdSensing,Fog,18,-1.0000,93909.6460,29761306.5298,56.4600,814617.0489
CrowdSensing,Cloud,20,-1.0000,102820.0000,28234710.0552,0.0000,822779.3750
CrowdSensing,Fog,20,-1.0000,102253.1120,30100070.2943,61.1200,809504.1821
CrowdSensing,Cloud,22,-1.0000,113102.0000,28564505.2098,0.0000,822815.2150
CrowdSensing,Fog,22,-1.0000,107310.2700,30490829.2562,62.7000,809998.1043
CrowdSensing,Cloud,24,-1.0000,123384.0000,28894275.0844,0.0000,822815.2150
CrowdSensing,Fog,24,-1.0000,117363.2780,30901060.6239,62.7800,812269.2800
CrowdSensing,Cloud,25,-1.0000,128525.0000,29059160.0217,0.0000,822815.2150
CrowdSensing,Fog,25,-1.0000,119797.7260,31045969.5396,62.2600,812575.3468
CrowdSensing,Cloud,27,-1.0000,138807.0000,29388929.8963,0.0000,822815.2150
CrowdSensing,Fog,27,-1.0000,126436.1540,31375141.4742,61.5400,808164.1808
CrowdSensing,Cloud,30,-1.0000,154230.0000,29883584.7082,0.0000,822815.2150
CrowdSensing,Fog,30,-1.0000,148046.8980,31918506.6891,58.9800,816873.6536
CrowdSensing,Cloud,35,-1.0000,179935.0000,30708009.3947,0.0000,822815.2150
CrowdSensing,Fog,35,-1.0000,174764.5700,32777933.1207,60.7000,819880.7600
CrowdSensing,Cloud,40,-1.0000,205640.0000,31532377.2012,0.0000,822734.5750
CrowdSensing,Fog,40,-1.0000,192282.5100,33647153.2360,60.1000,822607.7600
CrowdSensing,Cloud,45,-1.0000,231345.0000,32356805.0477,0.0000,822739.0550
CrowdSensing,Fog,45,-1.0000,221547.5380,34485515.4700,60.3800,822607.7600
CrowdSensing,Cloud,48,-1.0000,249735.1880,33725718.1089,6.8800,822815.2150
CrowdSensing,Fog,48,-1.0000,230250.2060,35000144.7889,62.0600,822612.2400
CrowdSensing,Cloud,50,-1.0000,256589.5800,35057357.5839,20.8000,822806.2550
CrowdSensing,Fog,50,-1.0000,240860.9780,35112545.5916,59.7800,822603.2800
CrowdSensing,Cloud,52,-1.0000,265416.4280,34941797.2540,24.2800,822815.2150
CrowdSensing,Fog,52,-1.0000,262145.1580,35643317.9752,61.5800,822616.7200
CrowdSensing,Cloud,55,-1.0000,260976.8160,35503003.2410,28.1600,822810.7350
CrowdSensing,Fog,55,-1.0000,269494.8980,36082979.4756,63.9800,822616.7200
CrowdSensing,Cloud,60,-1.0000,244317.7240,36806434.5270,47.2400,822815.2150
CrowdSensing,Fog,60,-1.0000,290005.8100,36718825.9722,63.1000,822616.7200
CrowdSensing,Cloud,70,-1.0000,251432.6540,38522834.3670,61.5400,822734.5750
CrowdSensing,Fog,70,-1.0000,343442.3300,38707110.5839,63.3000,822616.7200
CrowdSensing,Cloud,75,-1.0000,276792.6220,39527964.1741,61.2200,822792.8150
CrowdSensing,Fog,75,-1.0000,371955.3020,39480118.7202,63.0200,822616.7200
CrowdSensing,Cloud,100,-1.0000,498631.1300,43489261.0299,66.3000,822815.2150
CrowdSensing,Fog,100,-1.0000,495900.9100,43390545.6183,59.1000,822616.7200
