AppType,Strategy,NumAreas,NumCamerasPerArea,Loop1Latency(ms),Loop2Latency(ms),CompletedLoops1,CompletedLoops2,NetworkUsage,TotalEnergy(W),CloudExecutionCost
DCNS,Fog,8,12,3.0200,-1.0000,1,0,147128.0000,20553429.2537,0.0000
DCNS,Cloud,9,10,770.6443,105.0400,1,1,1108933.2000,20131601.9496,806650.4400
DCNS,Fog,9,10,105.0400,-1.0000,1,0,140133.2000,19638224.7129,40000.0000
DCNS,Cloud,9,12,813.1719,105.0400,1,1,1136937.6000,23177341.5739,806292.8400
DCNS,Fog,9,12,3.0200,-1.0000,1,0,1127670.8000,22750957.0937,0.0000
DCNS,Cloud,10,10,796.1523,105.0400,1,1,1124493.0000,21973591.2139,782414.4400
DCNS,Fog,10,10,-1.0000,-1.0000,0,0,1116806.0000,21479037.8592,0.0000
DCNS,Cloud,10,12,834.4284,105.0400,1,1,1155609.0000,25372690.9889,803204.4400
DCNS,Fog,10,12,3.0200,-1.0000,1,0,1137130.4000,24996296.3337,0.0000
DCNS,Cloud,10,13,849.1520,105.0400,1,1,1171167.0000,27070443.2032,811050.8400
DCNS,Fog,10,13,3.0200,-1.0000,1,0,1170894.1000,26641796.9000,0.0000
DCNS,Cloud,10,14,861.7627,105.0400,1,1,1186725.0000,28747254.2104,789208.4400
DCNS,Fog,10,14,3.0200,-1.0000,1,0,1154293.6000,28428543.1337,0.0000
DCNS,Cloud,10,15,872.6968,105.0400,1,1,1202283.0000,30431589.9675,778034.0400
DCNS,Fog,10,15,3.0200,-1.0000,1,0,1202014.0000,30074043.7000,0.0000
DCNS,Cloud,12,15,898.2243,105.0400,1,1,1248960.6000,35854026.8711,795118.4400
DCNS,Fog,12,15,3.0200,-1.0000,1,0,1248691.0000,35580052.8000,0.0000
DCNS,Cloud,15,15,923.7346,105.0400,1,1,1318977.0000,43971827.0675,798266.8400
DCNS,Fog,15,15,3.0200,-1.0000,1,0,1318706.5000,43839066.4500,0.0000
DCNS,Cloud,20,10,910.9852,105.0400,1,1,1280091.0000,40584745.1139,811209.6400
DCNS,Fog,20,10,3.0200,-1.0000,1,0,1203896.0000,40538066.7537,0.0000
DCNS,Cloud,10,5,566.5100,105.0400,1,1,1046703.0000,13530221.2854,807534.4400
DCNS,Fog,10,5,109.5639,105.0400,1,1,235198.0000,14018493.3537,827766.0800
DCNS,Cloud,25,2,566.5108,105.0400,1,1,1046730.0000,16035329.0211,810524.0400
DCNS,Fog,25,2,7.2200,3.0200,1,1,134263.0000,16667540.3643,12242.4000
DCNS,Cloud,2,25,566.5100,105.0400,1,1,1046684.6000,12195372.8461,807654.0400
DCNS,Fog,2,25,566.5106,105.0400,1,1,1046684.6000,12196766.6318,809630.0400
DCNS,Cloud,3,10,260.3098,105.0400,1,1,1015574.4000,8973803.8246,801982.8400
DCNS,Fog,3,10,260.3126,105.0400,1,1,1015574.4000,8980493.9961,811467.6400
DCNS,Cloud,10,3,260.3118,105.0400,1,1,1015587.0000,10146865.0818,809064.4400
DCNS,Fog,10,3,7.2200,3.0200,1,1,85515.0000,10058699.2946,6237.4000
DCNS,Cloud,15,10,872.7067,105.0400,1,1,1202292.0000,31290269.3568,812550.4400
DCNS,Fog,15,10,3.0200,-1.0000,1,0,1164198.0000,31003588.2537,0.0000
