AppType,Strategy,NumGateways,SensorsPerGateway,AnomalySelectivity,AvgLoopLatency(ms),NetworkUsage,TotalEnergy(W),CloudExecutionCost
EnvironmentalMonitoring,Cloud,1,1,1.0000,215.0723,5413.1500,3580921.7186,824946.9771
EnvironmentalMonitoring,Fog,1,1,1.0000,1.1986,0.0000,3000350.8742,0.0000
EnvironmentalMonitoring,Cloud,1,2,1.0000,210.1117,10772.7500,3623635.6236,820901.1200
EnvironmentalMonitoring,Fog,1,2,1.0000,6.2603,0.0000,3045544.6000,0.0000
EnvironmentalMonitoring,Cloud,2,2,1.0000,207.6798,21582.6000,3837383.2322,820911.1200
EnvironmentalMonitoring,Fog,2,2,1.0000,6.2603,0.0000,3260222.6000,0.0000
EnvironmentalMonitoring,Cloud,2,4,1.0000,206.5416,43167.8000,3837397.3394,820931.1200
EnvironmentalMonitoring,Fog,2,4,1.0000,6.6230,0.0000,3260222.6000,0.0000
EnvironmentalMonitoring,Cloud,3,3,1.0000,206.4292,48641.9000,4051141.4212,820936.1200
EnvironmentalMonitoring,Fog,3,3,1.0000,6.4416,0.0000,3474900.6000,0.0000
EnvironmentalMonitoring,Cloud,4,4,1.0000,206.1232,86614.9000,4264906.6638,820971.1200
EnvironmentalMonitoring,Fog,4,4,1.0000,6.6230,0.0000,3689578.6000,0.0000
EnvironmentalMonitoring,Cloud,5,3,1.0000,206.1394,81331.0000,4478643.6920,820966.1200
EnvironmentalMonitoring,Fog,5,3,1.0000,6.4416,0.0000,3904256.6000,0.0000
EnvironmentalMonitoring,Cloud,5,5,1.0000,206.1257,135553.5000,4478678.9599,821016.1200
EnvironmentalMonitoring,Fog,5,5,1.0000,6.8043,0.0000,3904256.6000,0.0000
EnvironmentalMonitoring,Cloud,6,4,1.0000,206.1172,130338.8000,4692415.9882,821011.1200
EnvironmentalMonitoring,Fog,6,4,1.0000,6.6230,0.0000,4118934.6000,0.0000
EnvironmentalMonitoring,Cloud,8,3,1.0000,206.1172,130753.9000,5119897.0983,821011.1200
EnvironmentalMonitoring,Fog,8,3,1.0000,6.4416,0.0000,4548290.6000,0.0000
EnvironmentalMonitoring,Cloud,8,5,1.0000,206.3524,217925.1000,5119953.5268,821091.1200
EnvironmentalMonitoring,Fog,8,5,1.0000,6.8043,0.0000,4548290.6000,0.0000
EnvironmentalMonitoring,Cloud,10,4,1.0000,206.3524,218617.0000,5547434.6369,821091.1200
EnvironmentalMonitoring,Fog,10,4,1.0000,6.6230,0.0000,4977646.6000,0.0000
EnvironmentalMonitoring,Cloud,10,5,1.0000,206.5529,273272.0000,5547469.9048,821141.1200
EnvironmentalMonitoring,Fog,10,5,1.0000,6.8043,0.0000,4977646.6000,0.0000
EnvironmentalMonitoring,Cloud,12,4,1.0000,206.7461,263171.3000,5974943.9613,821131.1200
EnvironmentalMonitoring,Fog,12,4,1.0000,6.6230,0.0000,5407002.6000,0.0000
EnvironmentalMonitoring,Cloud,1,1,0.1000,215.1300,4980.1500,3580921.7186,824946.9771
EnvironmentalMonitoring,Fog,1,1,0.1000,1.1986,0.0000,3000350.8742,0.0000
EnvironmentalMonitoring,Cloud,1,2,0.1000,210.4168,9944.9000,3623635.6236,820901.1200
EnvironmentalMonitoring,Fog,1,2,0.1000,7.2077,0.0000,3045544.6000,0.0000
EnvironmentalMonitoring,Cloud,2,2,0.1000,208.0863,19883.3000,3837383.2322,820911.1200
EnvironmentalMonitoring,Fog,2,2,0.1000,6.1681,0.0000,3260222.6000,0.0000
