AppType,Strategy,NumDepartments,MobilesPerDept,AvgLoopLatency(ms),NetworkUsage,TotalEnergy(W),CloudExecutionCost
VRGame,Cloud,1,1,228.0172,19077.5000,3185251.5602,18687.0400
VRGame,Fog,1,1,20.3483,2332.5000,3188720.1028,6066.0800
VRGame,Cloud,1,2,230.0532,36899.5000,3808185.9725,654188.2800
VRGame,Fog,1,2,22.1699,4043.5000,3390451.2808,6246.0800
VRGame,Cloud,2,2,230.1182,74261.5000,4429855.8491,803373.3600
VRGame,Fog,2,2,22.1796,7114.5000,3950019.4788,6606.0800
VRGame,Cloud,2,4,229.7030,157202.0000,5144087.2094,825579.4880
VRGame,Fog,2,4,34.0096,15968.0000,4664056.2669,7326.0800
VRGame,Cloud,3,3,229.3368,179910.0000,5485877.9226,826574.7200
VRGame,Fog,3,3,22.6906,16398.5000,5052452.5649,7506.0800
VRGame,Cloud,4,4,228.7810,341554.5000,6874241.6323,826574.7200
VRGame,Fog,4,4,35.9196,31109.0000,6493435.7235,8766.0800
VRGame,Cloud,5,3,228.7885,319708.0000,6866704.8550,826574.7200
VRGame,Fog,5,3,22.8044,26680.5000,6531257.3300,8586.0800
VRGame,Cloud,5,5,327.8812,557630.0000,8611276.6140,826574.7200
VRGame,Fog,5,5,328.5211,558281.5000,8611111.7082,826574.7200
VRGame,Cloud,6,4,429.6995,523341.5000,8602687.1917,826574.7200
VRGame,Fog,6,4,34.3890,46046.5000,8323048.5420,10206.0800
VRGame,Cloud,8,3,598.2398,506159.5000,8934163.6262,826221.0800
VRGame,Fog,8,3,22.5475,42154.5000,8749569.7643,10206.0800
VRGame,Cloud,8,5,788.8858,818321.0000,11715656.2411,826574.7200
VRGame,Fog,8,5,789.3170,816845.5000,11714651.4751,826574.7200
VRGame,Cloud,10,4,848.8570,802883.0000,12047551.5948,826574.7200
VRGame,Fog,10,4,33.6606,76051.0000,11981280.0713,13086.0800
VRGame,Cloud,10,5,895.3046,994832.5000,13786216.4814,826574.7200
VRGame,Fog,10,5,898.2655,995319.5000,13786632.7721,826574.7200
VRGame,Cloud,12,4,920.2829,938332.5000,13772614.2372,826574.7200
VRGame,Fog,12,4,33.7139,91024.0000,13810708.1435,14526.0800
